seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp
1,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,71.404021045,0.8162841796875,1768010415.865614
2,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,91.593757566,0.217041015625,1768010516.4704988
3,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,113.689442081,0.0,1768010639.6645982
4,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,116.836633718,0.0006103515625,1768010765.646696
0,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,70.057700248,0.9998779296875,1768010844.7893286
1,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,73.760909412,0.984375,1768010927.4463181
2,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,70.456863429,0.993408203125,1768011006.6721573
3,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,70.741351949,0.989013671875,1768011085.9217904
4,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,71.293731464,0.998291015625,1768011165.7053204
0,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,56.630034479,0.9990234375,1768011230.7808752
1,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,72.308340969,0.932861328125,1768011311.9752412
2,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,58.26388358,0.9794921875,1768011379.1886985
3,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,103.52965264,0.7064208984375,1768011491.7632911
4,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,80.820205593,0.976318359375,1768011581.9034672
0,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,101.22240861,0.24755859375,1768011692.0152867
1,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,78.901491618,0.8800048828125,1768011779.7495446
2,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,106.943244867,0.81396484375,1768011895.4647925
3,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,101.810602086,0.340087890625,1768012006.262639
4,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,103.697478905,0.62109375,1768012118.6316457
0,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,106.491620058,0.0,1768012234.119078
