seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp,TrainPos,EvalPos,run_name
2,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,51.963903397,1.0,1768159406.6954746,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s2
2,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,52.942751392,0.995849609375,1768159468.0003822,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s2
3,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,53.466330871,0.9937744140625,1768159529.939011,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s3
3,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,55.851395764,0.9678955078125,1768159595.9588432,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s3
4,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,53.821799439,0.9998779296875,1768159658.6459765,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s4
4,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,53.158128672,0.9931640625,1768159720.7146828,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s4
5,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,51.710132339,0.999755859375,1768159781.4009912,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s5
5,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,52.154604052,0.9923095703125,1768159842.5062447,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s5
6,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,51.767514574,0.994384765625,1768159902.9328687,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s6
6,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,53.428502085,0.99853515625,1768159965.0287623,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s6
7,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,52.446706359,0.9508056640625,1768160026.2459745,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s7
7,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,73.411351426,0.8817138671875,1768160108.1704273,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s7
8,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,53.917727472,0.9996337890625,1768160171.2482548,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s8
8,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,66.243107085,0.996337890625,1768160246.1373599,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s8
9,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,54.064931464,0.9110107421875,1768160308.9170384,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s9
9,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,53.137031744,0.993408203125,1768160370.7221599,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s9
0,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,80.101479362,0.2535400390625,1768160459.3215668,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s0
0,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,81.019310243,0.5623779296875,1768160549.06434,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s0
1,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,55.635562685,1.0,1768160613.6862514,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s1
1,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,82.83158216,0.2572021484375,1768160705.0139325,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s1
2,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,57.309630662000004,0.9896240234375,1768160771.2128143,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s2
2,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,56.305562287,0.9925537109375,1768160836.1622775,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s2
3,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,79.458170868,0.6776123046875,1768160924.197657,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s3
3,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,82.512984359,0.235595703125,1768161015.536896,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s3
4,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,80.446131349,0.3936767578125,1768161104.9218333,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s4
4,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,81.542806966,0.615234375,1768161195.039144,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s4
5,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,55.637728632,0.887451171875,1768161259.2104287,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s5
5,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,56.437899115,0.84619140625,1768161324.850286,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s5
